,Username,WineName,Vintage,Type,Dry-Sweet,Light-Bold,Soft-Acidic,Smooth-Tannic,VivinoRating,BlendedScore,Similarity,WeightRange
113,Theta,Y Series Sauvignon Blanc,2019,White,3.0,6.0,8.0,0.0,0.889,0.787,0.685,0.5 <= Weight < 0.75
114,Theta,Unoaked Chardonnay,2018,White,2.0,8.0,7.0,0.0,0.94,0.783,0.626,0.5 <= Weight < 0.75
115,Jessye,Molin Vecchio IGT,2010,Red ,5.0,6.0,1.0,5.0,0.364,0.674,0.984,>=0.9
116,Jessye,Sillano IGT Toscana,2010,Red ,5.0,6.0,1.0,5.0,0.339,0.661,0.984,>=0.9
117,Jessye,Sillano IGT Toscana,2012,Red ,5.0,6.0,1.0,5.0,0.321,0.652,0.984,>=0.9
118,Jessye,"""Opera San Pietro"" Amarone della Valpolicella Classico DOCG",2010,Red,6.0,9.0,4.0,4.0,0.229,0.573,0.917,>=0.9
119,Jessye,Cyril Henschke,2012,Red,4.0,8.0,0.0,7.0,0.116,0.521,0.925,>=0.9
120,Jessye,Scrubby Rise Shiraz,2017,Red,3.0,9.0,5.0,6.0,0.765,0.809,0.854,0.8 <= Weight < 0.9
121,Jessye,Cabernet Shiraz,2017,Red,2.0,10.0,5.0,6.0,0.805,0.805,0.806,0.8 <= Weight < 0.9
122,Jessye,Cabernet Sauvignon,2017,Red,2.0,8.0,6.0,7.0,0.78,0.796,0.811,0.8 <= Weight < 0.9
123,Jessye,Y Series Shiraz-Viognier,2017,Red,4.0,9.0,7.0,6.0,0.725,0.785,0.846,0.8 <= Weight < 0.9
124,Jessye,Benuara Sicilia IGT,2017,Red,4.0,10.0,3.0,5.0,0.668,0.775,0.883,0.8 <= Weight < 0.9
125,Jessye,Shiraz,2018,Red,2.0,10.0,5.0,5.0,0.829,0.809,0.789,0.75 <= Weight < 0.8
126,Jessye,Old Winery Shiraz,2017,Red,2.0,10.0,6.0,6.0,0.77,0.78,0.79,0.75 <= Weight < 0.8
127,Jessye,Merlot  ,2018,Red,1.0,7.0,2.0,3.0,0.78,0.776,0.771,0.75 <= Weight < 0.8
128,Jessye,Full Berry Pinotage,2019,Red,1.0,8.0,5.0,7.0,0.765,0.775,0.784,0.75 <= Weight < 0.8
129,Jessye,Old Winery Cebernet Merlot,2015,Red,2.0,10.0,7.0,7.0,0.702,0.744,0.786,0.75 <= Weight < 0.8
130,Jessye,Chardonnay,2017,White,4.0,6.0,4.0,0.0,0.736,0.742,0.748,0.5 <= Weight < 0.75
131,Jessye,Chardonnay,2014,White,4.0,6.0,4.0,0.0,0.716,0.732,0.748,0.5 <= Weight < 0.75
132,Jessye,Chardonnay,2018,White,4.0,6.0,4.0,0.0,0.696,0.722,0.748,0.5 <= Weight < 0.75
133,Jessye,Muller Thurgau Trentino DOC,2016,White,3.0,4.0,4.0,0.0,0.736,0.72,0.704,0.5 <= Weight < 0.75
